date,region,value
2002,Dublin City,8654092
2003,Dublin City,11378014
2004,Dublin City,27571393
2005,Dublin City,63572817
2006,Dublin City,55874668
2007,Dublin City,66564553
2008,Dublin City,29579745
2009,Dublin City,13653272
2010,Dublin City,20034115
2011,Dublin City,12626167
2012,Dublin City,9521569
2002,Dun Laoghaire-Rathdown,7761776
2003,Dun Laoghaire-Rathdown,8248405
2004,Dun Laoghaire-Rathdown,12005514
2005,Dun Laoghaire-Rathdown,24197857
2006,Dun Laoghaire-Rathdown,62030410
2007,Dun Laoghaire-Rathdown,49294455
2008,Dun Laoghaire-Rathdown,32612802
2009,Dun Laoghaire-Rathdown,19933676
2010,Dun Laoghaire-Rathdown,14121581
2011,Dun Laoghaire-Rathdown,3703346
2012,Dun Laoghaire-Rathdown,11397018
2002,Fingal,16338872
2003,Fingal,22828194
2004,Fingal,36418076
2005,Fingal,50499281
2006,Fingal,72524870
2007,Fingal,65440112
2008,Fingal,39990000
2009,Fingal,12695000
2010,Fingal,15941100
2011,Fingal,5291336
2012,Fingal,6548137
2002,South Dublin,11243420
2003,South Dublin,2397997
2004,South Dublin,20759303
2005,South Dublin,31581698
2006,South Dublin,41694052
2007,South Dublin,39006711
2008,South Dublin,24176086
2009,South Dublin,8227872
2010,South Dublin,4949915
2011,South Dublin,2897774
2012,South Dublin,2740939
